                                                                 BALANCE DE SUMAS Y SALDOS
EMPRESA: MAKE-OPTIC, SL                                                                                     FECHA: 20/08/2026
Condición: Desde la SUBCUENTA 1000000000 a la 7999999999
           En el PERIODO del 01/01/2021 al 31/12/2021


Subcuenta      Nombre de la Subcuenta                             Saldo Inicial        Debe        Haber                Saldo
4300000476     ARENA OPTICA 16 S.L                                  0,00      1.133,22     1.133,22                0,00
4300000479     VANESA MARTINEZ BUCEO                              171,15      2.359,16     2.530,31                0,00
4300000482     LUIS MUÑOZ ORTS                                    369,07      8.052,90     8.421,97                0,00
4300000485     CARBONELL GIMENO, FILIBERTO                         41,14        378,00       419,14                0,00
4300000487     OPTICALIA CLARAMUNT                                 16,82         89,30       106,12                0,00
4300000489     PATERNAVISION                                       85,06        429,44       514,50                0,00
4300000490     OPTICA BENAGUACIL                                    0,00         90,51        90,51                0,00
4300000493     LINCE VISION 2015                                  183,57      2.804,17     2.987,74                0,00
4300000499     CLERITAM S.C.                                      152,37      1.582,95     1.735,32                0,00
4300000500     RIGEL VISIO S.L                                      0,00        681,72       681,72                0,00
4300000501     MARIA JOSE CARCELLER SANCHEZ                         0,00        163,35       163,35                0,00
4300000503     JAVIER BARBERO ALMODOVAR                           243,96      3.595,33     3.839,29                0,00
4300000505     AUDIOVISION OLICARES                               174,23      3.537,44     3.711,67                0,00
4300000507     OPTICA JORGE CABAÑES                                 0,00         17,06        17,06                0,00
4300000508     BAICARVIC 2011,S.L.                                201,00      2.269,60     2.470,60                0,00
4300000509     ROIG-ESPERT S.L.                                    38,48        230,75       269,23                0,00
4300000510     OPTICA BETI S.L                                     12,10        194,70       206,80                0,00
4300000511     PUZOL VALENCIA GODELLA S.L.                        156,29        514,03       670,32                0,00
4300000513     OPTICA INSA                                          0,00         80,34        80,34                0,00
4300000514     OPTICA BENIMAMET, S.L.                             149,68      1.088,29     1.237,97                0,00
4300000515     JESUS CUÑAT DEVIS                                   17,24          5,20        22,44                0,00
4300000518     CALLPER BONAVISTA, S.L                             102,91      1.343,69     1.446,60                0,00
4300000519     ORETO HERNANDEZ OPTICA                              54,57        376,36       430,93                0,00
4300000521     RAGA                                                40,05        100,66       140,71                0,00
